"","image_id","predefined_tags","people_n","ethnicities","sign_slogan_symbol","anger","fear","disgust","sadness","enthusiasm"
"1010",183246,"Street protest",8,"Black, White, non-Hispanic, Latino, Hispanic","protest sign, protest slogan (e.g. black lives matter; hands up, don't shoot!)",2,1,1,3,5
"1011",75210,"Street protest, Police",8,"Black, White, non-Hispanic","protest sign",0,1,0,0,0
"1012",83858,"Street protest",8,"Black, White, non-Hispanic, Latino, Hispanic","",1,1,1,1,6
"1013",151066,"Street protest, Police",8,"Black, White, non-Hispanic","protest sign, protest slogan (e.g. black lives matter; hands up, don't shoot!)",0,1,0,0,1
"1014",184200,"Street protest",8,"Black, White, non-Hispanic","",2,1,1,1,1
"1015",183170,"Street protest",8,"Black, White, non-Hispanic, Latino, Hispanic","protest sign",1,1,1,1,1
"1016",75210,"Street protest, Police, Police vehicles",8,"Black, White, non-Hispanic","",2,1,1,1,3
"1017",182981,"Street protest",8,"Black, White, non-Hispanic","protest slogan (e.g. black lives matter; hands up, don't shoot!)",1,1,1,1,5
"1018",184195,"Street protest",8,"Black, White, non-Hispanic","",2,1,1,1,2
"1019",51918,"Street protest",7,"Black, White, non-Hispanic","protest sign",2,1,0,6,3
"1020",55568,"Police",7,"White, non-Hispanic, Asian","",2,1,1,1,1
"1021",56151,"Police",7,"White, non-Hispanic","",0,1,0,0,0
"1022",126142,"Picture of or including John Legend",7,"Black, White, non-Hispanic, Latino, Hispanic","",1,1,1,1,1
"1023",34984,"",6,"Black, White, non-Hispanic","",1,1,1,1,1
"1024",43366,"Street protest",6,"Black, White, non-Hispanic","protest sign",2,1,3,4,2
"1025",59568,"Police, Police vehicles",6,"White, non-Hispanic","",1,1,1,1,1
"1026",120327,"",6,"Black, White, non-Hispanic","",0,1,0,0,3
"1027",133809,"Street protest",6,"White, non-Hispanic","protest sign",1,1,6,6,5
"1028",149951,"Drawing/cartoon/painting",6,"Black","",1,1,1,1,1
"1029",131080,"",6,"Black, White, non-Hispanic","",1,1,1,1,1
"1030",57516,"Screenshot (of Twitter or from news video, etc)",6,"Black, White, non-Hispanic","",2,1,1,1,6
"1031",4325,"",5,"Black","",1,1,1,1,1
"1032",6088,"",5,"Black, White, non-Hispanic","",4,1,2,1,1
"1033",12067,"Street protest",5,"Black","protest sign",3,1,1,1,2
"1034",45572,"Street protest, Advertisement for protest or BLM event",5,"Black, White, non-Hispanic","protest sign",2,1,2,2,2
"1035",54480,"Screenshot (of Twitter or from news video, etc)",5,"Black, White, non-Hispanic","",1,1,1,1,7
"1036",58772,"Police",5,"Black, White, non-Hispanic","",1,1,1,1,1
"1037",130787,"Picture of or including John Legend",5,"Black","",1,1,1,1,1
"1038",163345,"",5,"Black","",1,1,1,1,1
"1039",182609,"",5,"Black","",1,1,1,1,5
"1040",186715,"Street protest",5,"Black","",7,1,6,1,0
"1041",196869,"",5,"Black","",4,1,3,7,2
"1042",165019,"Street protest",5,"Black","",9,1,10,4,3
"1043",46672,"Police making arrest, Police",5,"White, non-Hispanic","",1,1,6,3,0
"1044",16022,"Police",5,"White, non-Hispanic","",0,1,0,0,0
"1045",27448,"",5,"Black","",1,1,1,1,1
"1046",94486,"",5,"Black, White, non-Hispanic","",1,1,1,1,1
"1047",62680,"",5,"Black, White, non-Hispanic","",2,1,1,1,1
"1048",45462,"Street protest",4,"Black, White, non-Hispanic","protest sign",1,1,1,1,1
"1049",81688,"Police, Police vehicles",4,"Black, White, non-Hispanic","protest sign",2,1,1,3,2
"1050",98486,"Headshot",4,"Latino, Hispanic","",1,1,1,1,1
"1051",67392,"",4,"Black, White, non-Hispanic","",1,1,1,1,1
"1052",53417,"Police, Police vehicles",4,"Black","",0,1,0,0,0
"1053",120174,"Street protest, Police",4,"Black","protest sign",4,1,5,2,7
"1054",35419,"Street protest",4,"Black, White, non-Hispanic","protest sign",1,1,1,1,1
"1055",4677,"",3,"Black, White, non-Hispanic","",1,1,1,1,5
"1056",57492,"Police, Police vehicles",3,"Black, White, non-Hispanic","",1,1,1,1,1
"1057",121453,"Advertisement for protest or BLM event",3,"Black","",2,1,1,1,5
"1058",162964,"Headshot",3,"Black, White, non-Hispanic","",1,1,1,1,1
"1059",122746,"Headshot",3,"Black","",1,1,1,4,1
"1060",94237,"Street protest",3,"Black","protest sign",1,1,1,1,7
"1061",30051,"Police",3,"Black, White, non-Hispanic","",1,1,1,1,1
"1062",335,"",2,"Black, White, non-Hispanic","",1,1,3,1,1
"1063",16888,"",2,"Black","",1,1,1,1,1
"1064",16932,"Headshot",2,"Black, White, non-Hispanic","",3,1,3,4,1
"1065",28453,"Headshot",2,"Black","",1,1,1,1,1
"1066",28453,"",2,"Black, White, non-Hispanic","",0,1,0,4,0
"1067",35432,"",2,"Black","protest sign",3,1,2,4,2
"1068",43354,"Street protest",2,"Black","",1,1,0,3,7
"1069",166212,"Headshot",2,"Black","",1,1,1,1,6
"1070",178010,"Drawing/cartoon/painting",2,"","",3,1,7,5,6
"1071",105552,"Headshot",2,"White, non-Hispanic","",0,1,0,0,0
"1072",105552,"Headshot",2,"White, non-Hispanic","",1,1,1,1,1
"1073",128058,"Police",2,"White, non-Hispanic","",1,1,1,1,1
"1074",39680,"Street protest, Advertisement for protest or BLM event, Headshot, Headshot identified/identifiable as someone killed by police brutality",2,"Black","protest sign",2,1,2,2,1
"1075",8590,"",2,"Black","",1,1,1,1,1
"1076",171754,"",2,"Black, Latino, Hispanic","",1,1,1,1,1
"1077",41804,"Street protest",2,"Latino, Hispanic","protest sign",1,1,1,1,1
"1078",3866,"",2,"Latino, Hispanic","",1,1,1,1,1
"1079",6,"Headshot",1,"Black","",1,1,1,3,2
"1080",60,"",1,"White, non-Hispanic","protest sign, protest slogan (e.g. black lives matter; hands up, don't shoot!)",3,1,4,3,3
"1081",1477,"Headshot",1,"Black","",1,1,1,1,6
"1082",4655,"Headshot",1,"Black","",1,1,1,1,1
"1083",4655,"Headshot",1,"Black","",0,1,0,3,1
"1084",4924,"Headshot",1,"Black","protest slogan (e.g. black lives matter; hands up, don't shoot!)",2,1,3,2,0
"1085",7896,"Headshot",1,"Black","",1,1,1,1,1
"1086",10268,"Picture of or including John Legend",1,"Black","",1,1,1,1,1
"1087",12135,"Picture of or including John Legend",1,"Black","",1,1,1,1,1
"1088",14183,"Picture of or including John Legend",1,"Black","",1,1,1,1,1
"1089",17222,"Headshot",1,"White, non-Hispanic","protest sign",3,1,5,3,2
"1090",23861,"Headshot",1,"Black","",1,1,1,1,1
"1091",27740,"Headshot",1,"Black","",1,1,1,1,1
"1092",27775,"Headshot",1,"Black","",1,1,1,1,1
"1093",47373,"Picture of or including John Legend",1,"Black","",1,1,1,1,1
"1094",65181,"Headshot",1,"Black","",NA,1,1,3,1
"1095",73429,"Screenshot (of Twitter or from news video, etc)",1,"Black","",3,1,4,2,3
"1096",73871,"",1,"White, non-Hispanic","protest sign, protest slogan (e.g. black lives matter; hands up, don't shoot!)",4,1,6,4,4
"1097",90513,"Screenshot (of Twitter or from news video, etc)",1,"Black","",1,1,1,1,1
"1098",98429,"Headshot",1,"White, non-Hispanic","",3,1,2,4,2
"1099",98877,"Drawing/cartoon/painting",1,"","",2,1,4,6,1
"1100",101696,"Headshot",1,"Black","",1,1,1,1,1
"1101",106960,"Picture of or including John Legend",1,"Black","",1,1,1,1,1
"1102",111621,"Headshot",1,"Black","",1,1,1,1,1
"1103",112298,"Picture of or including John Legend",1,"Black","",1,1,1,1,1
"1104",129720,"Headshot",1,"","",1,1,1,1,1
"1105",146145,"",1,"White, non-Hispanic","",1,1,1,1,1
"1106",151644,"",1,"White, non-Hispanic","protest slogan (e.g. black lives matter; hands up, don't shoot!)",2,1,3,4,3
"1107",162795,"Headshot",1,"Black","",1,1,1,1,1
"1108",163931,"Headshot",1,"Black","",4,1,4,2,1
"1109",166588,"Political cartoon",1,"Black","",1,1,1,1,1
"1110",166588,"Drawing/cartoon/painting",1,"Black","",2,1,2,2,2
"1111",167722,"",1,"Black","protest slogan (e.g. black lives matter; hands up, don't shoot!), symbol (e.g. flags, logos)",0,1,0,0,0
"1112",168802,"Headshot",1,"Black","",1,1,1,1,3
"1113",170116,"Headshot",1,"Black","",1,1,1,1,1
"1114",170526,"",1,"Black","",1,1,1,1,7
"1115",177519,"Headshot",1,"Black","",2,1,1,3,1
"1116",180566,"Political cartoon, Drawing/cartoon/painting, Police",1,"White, non-Hispanic","",2,1,4,0,2
